,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,star_rating,ratings,latest_price
844,HP,Pavilion,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,2,Casual,14.0,1,No,Yes,3.5,23,972.29
845,HP,Pavilion,AMD,Ryzen 7,10.0,16,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,2.8,4,1033.06
846,MSI,Alpha,AMD,Ryzen 7,10.0,16,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,4.7,108,1215.39
847,ASUS,ROG,AMD,Ryzen 7,10.0,8,LPDDR4X,1024,0,Windows,64,4,Casual,14.0,0,No,No,4.6,198,887.2
848,HP,HP,AMD,Ryzen 7,10.0,16,DDR4,1024,0,Windows,64,0,ThinNlight,13.3,1,Yes,Yes,0.0,0,1130.3
849,HP,Pavilion,AMD,Ryzen 7,10.0,16,DDR4,1024,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,0.0,0,1023.34
850,ASUS,Zenbook,AMD,Ryzen 7,10.0,16,LPDDR4X,1024,0,Windows,64,0,Casual,14.0,0,Yes,No,0.0,0,1373.4
851,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR5,1024,0,Windows,32,4,Casual,16.0,1,No,No,0.0,0,1397.71
852,acer,Swift,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,4,Casual,16.0,1,No,No,0.0,0,1215.39
853,ASUS,TUF,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,32,4,Gaming,15.12,0,No,No,4.7,57,1166.77
854,HP,OMEN,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,8,Casual,16.0,1,No,No,4.8,17,1944.69
855,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,0,Casual,15.12,1,No,Yes,0.0,0,935.82
856,Lenovo,Legion,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,6,Casual,16.0,1,No,Yes,0.0,0,1592.2
857,ASUS,VivoBook,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1215.39
858,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR5,1024,0,Windows,64,4,Casual,16.0,0,No,No,0.0,0,1373.4
859,Lenovo,Ideapad,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,Yes,0.0,0,947.95
860,ASUS,ROG,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,0,Casual,15.12,1,No,Yes,5.0,1,923.79
861,ASUS,ROG,AMD,Ryzen 7,10.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,16.0,1,Yes,No,4.4,77,1215.39
862,ASUS,Zephyrus,AMD,Ryzen 7,10.0,4,DDR4,1024,0,Windows,64,0,Casual,15.12,1,No,No,0.0,0,1349.22
863,ASUS,Ryzen,AMD,Ryzen 7,10.0,16,LPDDR4X,1024,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,3.0,2,1032.82
864,HP,Pavilion,AMD,Ryzen 7,10.0,16,DDR4,256,1025,Windows,64,4,Gaming,15.6,1,No,Yes,4.5,1084,923.67
865,acer,Nitro,AMD,Ryzen 7,10.0,16,DDR4,256,1025,Windows,64,6,Casual,15.6,1,No,No,4.4,272,1093.84
866,acer,Nitro,AMD,Ryzen 7,10.0,16,DDR4,256,1025,Windows,64,4,Casual,15.6,0,No,No,4.5,141,996.6
867,Lenovo,Ryzen,AMD,Ryzen 7,10.0,4,DDR4,512,1025,Windows,32,0,Casual,16.0,0,No,No,0.0,0,978.36
868,ASUS,ROG,AMD,Ryzen 9,9.0,16,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,0.0,0,1652.97
869,ASUS,ROG,AMD,Ryzen 9,9.0,16,DDR4,1024,0,Windows,32,0,Casual,15.6,1,No,No,4.6,194,1883.92
870,ASUS,ROG,AMD,Ryzen 9,9.0,16,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,Yes,4.7,9,2430.9
871,ASUS,ROG,AMD,Ryzen 9,9.0,16,DDR4,1024,0,Windows,64,4,Casual,15.6,0,No,No,4.6,28,1397.71
872,ASUS,ROG,AMD,Ryzen 9,9.0,16,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,Yes,4.3,204,1580.04
873,ASUS,ROG,AMD,Ryzen 9,9.0,16,LPDDR4X,1024,0,Windows,64,4,Casual,13.4,1,Yes,Yes,4.3,32,1397.71
